[ID],[CarMadeYear],[Car Name],[Features],[Features_2],[Features_3],[Features_4],[Features_5],[Features_6],[Features_7],[Features_8],[Features_9],[Features_10],[Features_11],[Features_12],[Features_13],[Features_14],[Features_15],[Features_16],[Standard Equipment],[Standard Equipment_2],[Standard Equipment_3],[Standard Equipment_4],[Standard Equipment_5],[Standard Equipment_6],[Standard Equipment_7],[Standard Equipment_8],[Standard Equipment_9],[Standard Equipment_10],[Standard Equipment_11],[Standard Equipment_12],[Standard Equipment_13],[Standard Equipment_14],[Standard Equipment_15],[Standard Equipment_16],[Standard Equipment_17],[Standard Equipment_18],[Standard Equipment_19],[Standard Equipment_20],[Standard Equipment_21],[Standard Equipment_22],[Standard Equipment_23],[Standard Equipment_24],[Standard Equipment_25],[Standard Equipment_26],[Standard Equipment_27],[Standard Equipment_28],[Standard Equipment_29],[Standard Equipment_30],[Standard Equipment_31],[Standard Equipment_32],[Standard Equipment_33],[Standard Equipment_34],[Standard Equipment_35],[Standard Equipment_36],[Standard Equipment_37],[Standard Equipment_38],[Standard Equipment_39],[Standard Equipment_40],[Standard Equipment_41],[Standard Equipment_42],[Standard Equipment_43],[Standard Equipment_44],[Standard Equipment_45],[Standard Equipment_46],[Standard Equipment_47],[Standard Equipment_48],[Standard Equipment_49],[Standard Equipment_50],[Standard Equipment_51],[Standard Equipment_52],[Standard Equipment_53],[Standard Equipment_54],[Standard Equipment_55],[Standard Equipment_56],[Standard Equipment_57],[Standard Equipment_58],[Standard Equipment_59],[Standard Equipment_60],[Standard Equipment_61],[Standard Equipment_62],[Standard Equipment_63],[Standard Equipment_64],[Standard Equipment_65],[Standard Equipment_66],[Standard Equipment_67],[Standard Equipment_68],[Sellers Notes],[Dealer Name],[Dealer Address],[Image URL 1],[Image URL 2],[Price],[Mileage],[Fuel],[Body Style],[Engine],[Exterior Color],[Transmission],[Interior Color],[Stock #],[Drivetrain],[VIN],[Doors],[Wheelbase],[Page URL],, , 
318,2012,2012 Honda Civic EX,3 Point Rear Seatbelts,3 Point Seatbelts,Adjustable Head Rests,Air Conditioning,Airbag Deactivation,Ambient Light Package,Anti Theft/Security System,Anti-Lock Braking System (Abs),Anti-Theft Device(S),Armrest(S),Auto Express Down Window,Auto Headlight Delay,Beverage Holder (S),Body-Color Bumpers,Bucket Seats,Center Console,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,ABS and Driveline Traction Control,Anti-theft alarm system,Audio controls on steering wheel,Audio system memory card slot,Audio system security,Bluetooth HandsFreeLink wireless phone connectivity,Braking Assist,Bucket front seats,Cargo area light,Clock: In-dash,Cloth seat upholstery,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Daytime running lights,Digital Audio Input,Dual vanity mirrors,Express open/close glass sunroof,External temperature display,Fold forward seatback rear seats,Four-wheel Independent Suspension,Front and rear suspension stabilizer bars,Front reading lights,Front Ventilated disc brakes,Fuel Capacity: 13.2,Fuel Consumption: City: 28,Fuel Consumption: Highway: 39,Fuel Type: Regular unleaded,Headlights off auto delay,In-Dash single CD player,Independent front suspension classification,Independent rear suspension,Instrumentation: Low fuel level,Interior air filtration,Manual front air conditioning,Manufacturer's 0-60mph acceleration time (seconds): 8.8,Max cargo capacity: 12,Mechanical remote trunk release,Metal-look shift knob trim,MP3 player,Multi-link rear suspension,Passenger Airbag,Plastic/vinyl steering wheel trim,Power remote driver mirror adjustment,Power remote passenger mirror adjustment,Power windows,Privacy glass: Light,Radio Data System,Rear bench,Rear seats center armrest,Rear Stabilizer Bar: Regular,Regular front stabilizer bar,Remote power door locks,Side airbag,Silver aluminum rims,Spare T,Speed Sensitive Audio Volume Control,Speed-proportional electric power steering,Stability control,Steel spare wheel rim,Strut front suspension,Suspension class: Regular,Tachometer,Tilt and telescopic steering wheel,Tire Pressure Monitoring System,,,,,,"$20,995 ","8,229",Gasoline,Sedan,1.8L I4 16V MPFI SOHC,Polished Metal Metal...,5-Speed Automatic,Stone,311535,FWD,2HGFB2F85CH311535,4,"105""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=83976332&listingRecNum=326&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D3,,,
319,2011,2011 Honda Civic EX-L,4 Wheel Disc Brakes,ABS Brakes,Air Conditioning,AM/FM Radio,Anti-Whiplash Front Head Restraints,Bodyside Moldings,Brake Assist,Bumpers: Body-Color,CD Player,Door Mirrors: Body-Color,Driver Door Bin,Driver Vanity Mirror,Dual Front Impact Airbags,Dual Front Side Impact Airbags,Electronic Stability,Front Beverage Holders,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,ABS and Driveline Traction Control,Anti-theft alarm system,Audio controls on steering wheel,Audio system memory card slot,Audio system security,Braking Assist,Bucket front seats,Cargo area light,Clock: In-radio display,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Daytime running lights,Digital Audio Input,Driver and passenger heated-cushion,driver heated-seatback,Driver Seat Head Restraint Whiplash Protection,Dual vanity mirrors,Express open/close glass sunroof,External temperature display,Fold forward seatback rear seats,Four-wheel Independent Suspension,Front reading lights,Front Ventilated disc brakes,Fuel Capacity: 13.2,Fuel Consumption: City: 25,Fuel Consumption: Highway: 36,Fuel Type: Regular unleaded,Head Restraint Whiplash Protection with Passenger Seat,Heated driver mirror,Heated passenger mirror,In-Dash single CD player,Indepen,Independent front suspension classification,Instrumentation: Low fuel level,Interior air filtration,Leather seat upholstery,Leather/metal-look steering wheel trim,Manual front air conditioning,Manufacturer's 0-60mph acceleration time (seconds): 8.9,Max cargo capacity: 12,Mechanical remote trunk release,Metal-look center console trim,Metal-look door trim,Metal-look shift knob trim,MP3 player,Passenger Airbag,Power remote driver mirror adjustment,Power remote passenger mirror adjustment,Power windows,Privacy glass: Light,Rear bench,Rear seats center armrest,Rear Stabilizer Bar: Regular,Regular front stabilizer bar,Remote power door locks,Side airbag,Silver aluminum rims,Speed Sensitive Audio Volume Control,Speed-proportional power steering,Stability control,Strut front suspension,Suspension class: Regular,Tachometer,Tilt and telescopic steering wheel,"Seller's Notes: SPORTY AND ECONOMIC TO DRIVE! LETS SEE, WE HAVE LEATHER, HEATED SEATS, ALLOY WHEELS, SPOILER, ALL POWER OPTIONS. WHAT'S MISSING? YOU BEHIND THE WHEEL! NICE CAR STILL UNDER FACTORY WARRANTY. GREAT GAS MILEAGE AND YOU KNOW THAT'S IMPORTANT. CALL DAVE LEE 866-413-1821 OR STEVE WILLIAMS TO DRIVE AND GET YOU BEST INTERNET DEAL. DAVID LEE and Steve Williams are available to help you through the entire purchase process. Our per-owned vehicles are available to everyone so please call to check if the vehicle is still here prior to your arrival. Please call... 866-413-1821 . DAVID LEE will ensure availability and accurate pricing!",,,http://www.cstatic-images.com/phototab/DMI/158615/L8601A.jpg,http://www.cstatic-images.com/phototab/DMI/158615/L8601A.02.jpg,"$20,997 ","21,615",Gasoline,Sedan,1.8L I4 16V MPFI SOHC,Alabaster Silver,5-Speed Automatic,,L8601A,FWD,2HGFA1F95BH506507,4,"106""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=84484110&listingRecNum=315&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D3,,,
320,2010,2010 Honda Civic Si,4 Wheel Disc Brakes,5 Passenger Seating,Additional Power Outlet(S),Air Bag - Driver,Air Bag - Passenger,Air Bag - Side,Air Bags - Head,Air Conditioning,AM/FM Stereo,Audio-Upgrade Sound System,Brakes-Abs-4 Wheel,Bucket Seats,CD Player,Center Arm Rest,Clock,Cloth Seats,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,ABS and Driveline Traction Control,Anti-theft alarm system,Audio controls on steering wheel,Audio system memory card slot,Audio system security,Braking Assist,Cargo area light,Clock: In-radio display,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Daytime running lights,Digital Audio Input,Double wishbone rear suspension,Driver Seat Head Restraint Whiplash Protection,Dual vanity mirrors,Express open/close glass sunroof,External temperature display,Fold forward seatback rear seats,Four-wheel Independent Suspension,Front and rear suspe,Front fog/driving lights,Front reading lights,Front sport seat,Front Ventilated disc brakes,Fuel Capacity: 13.2,Fuel Consumption: City: 21,Fuel Consumption: Highway: 29,Fuel Type: Premium unleaded,Head Restraint Whiplash Protection with Passenger Seat,In-Dash single CD player,Independent front suspension classification,Independent rear suspension,Instrumentation: Low fuel level,Interior air filtration,Leather/aluminum shift knob trim,Leather/metal-look steering wheel trim,Manual front air conditioning,Manufacturer's 0-60mph acceleration time (seconds): 6.7,Max cargo capacity: 11,Mechanical remote trunk release,Metal-look center console trim,Metal-look door trim,MP3 player,Passenger Airbag,Power remote driver mirror adjustment,Power remote passenger mirror adjustment,Power windows,Premium cloth seat upholstery,Privacy glass: Light,Rear bench,Rear spoiler: Wing,Rear Stabilizer Bar: Regular,Regular front stabilizer bar,Remote power door locks,Side airbag,Silver aluminum rims,Speed Sensitive Audio Volume Control,Speed-proportional electric power steering,Stability control,Strut front suspension,Suspension class: Sport,Tachometer,Tilt and telescopic steering wheel,Tire Pressure Monitoring System,Seller's Notes: WELL MAINTAINED ** LOW MILES ** SI ** POWER SUNROOF ** PREMIUM SOUND ** CLEAN ** See it at Brookdale Honda where you will find Minnesota's largest selection of Pre-Owned Hondas!! Need Financing? Why go anywhere else. We have a variety of financing terms available. We will save you time and money! BROOKDALEHONDA.COM 888-443-4296 2010 Honda Civic Si Come visit the largest selection of Pre-Owned Hondas at Luther Brookdale Honda. Enjoy Luther Advantage benefits on each New and Pre-Owned Vehicle! We are conveniently located off 694 and Brooklyn Blvd in Brooklyn Center MN. Far away? Visit Brookdalehonda.com for a complete listing of options or call 888-443-4296 for details. See you soon!,,,http://www.cstatic-images.com/phototab/DMI/83407/P21400.jpg,http://www.cstatic-images.com/phototab/DMI/83407/P21400.02.jpg,"$20,997 ","21,933",Gasoline,Coupe,2.0L I4 16V MPFI DOHC,Crystal Black Pearl,6-Speed Manual,Black,P21400,FWD,2HGFG2A52AH701326,2,"104""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=84815051&listingRecNum=316&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D3,,,
321,2012,2012 Honda Civic EX,16-Inch Wheels,Air Conditioning,Alloy Wheels,AM/FM Radio,Anti-Lock Brakes,Body Side Molding,Center Console,Cloth Seats,Compact Disc Player,Four Doors,Intermittent Wipers,Navigation System,Power Brakes,Power Locks,Power Mirrors,Power Moonroof,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,ABS and Driveline Traction Control,Anti-theft alarm system,Audio controls on steering wheel,Audio system memory card slot,Audio system security,Bluetooth HandsFreeLink wireless phone connectivity,Braking Assist,Bucket front seats,Cargo area light,Clock: In-dash,Cloth seat upholstery,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Daytime running lights,Digital Audio Input,Dual vanity mirrors,Express open/close glass sunroof,External temperature display,Fold forward seatback rear seats,Four-wheel Independent Suspension,Front and rear suspension stabilizer bars,Front reading lights,Front Ventilated disc brakes,Fuel Capacity: 13.2,Fuel Consumption: City: 28,Fuel Consumption: Highway: 39,Fuel Type: Regular unleaded,Headlights off auto delay,In-Dash single CD player,Independent front suspension classification,Independent rear suspension,Instrumentation: Low fuel level,Interior air filtration,Manual front air conditioning,Manufacturer's 0-60mph acceleration time (seconds): 8.8,Max cargo capacity: 12,Mechanical remote trunk release,Metal-look shift knob trim,MP3 player,Multi-link rear suspension,Passenger Airbag,Plastic/vinyl steering wheel trim,Power remote driver mirror adjustment,Power remote passenger mirror adjustment,Power windows,Privacy glass: Light,Radio Data System,Rear bench,Rear seats center armrest,Rear Stabilizer Bar: Regular,Regular front stabilizer bar,Remote power door locks,Side airbag,Silver aluminum rims,Spare T,Speed Sensitive Audio Volume Control,Speed-proportional electric power steering,Stability control,Steel spare wheel rim,Strut front suspension,Suspension class: Regular,Tachometer,Tilt and telescopic steering wheel,Tire Pressure Monitoring System,"Seller's Notes: CarSense is a whole new way to buy a pre-owned car. It's completely free of the usual haggling, nagging uncertainties, and maddening frustrations that ruin the pleasure of buying a car. You'll notice the difference the minute you set foot on a CarSense lot. Salespeople don't pester you, because they're not paid on a commission basis. There's no tension. Our best price - often hundreds lower than Kelley Blue Book - is already on the sticker. You don't have to wonder (or worry) about how our cars will perform. We have warranties on everything down to the wiper blades for 6 months or 6,000 miles, with extended warranties available up to 100,000 miles. We have such confidence in our cars, we offer the unique Lifetime Engine Guarantee. And, if you have any doubts, you can return our cars up to five days after the sale. No questions asked.",,,http://www.cstatic-images.com/phototab/DMI/186554/B21983.jpg,http://www.cstatic-images.com/phototab/DMI/186554/B21983.02.jpg,"$20,995 ","1,949",Gasoline,Sedan,1.8L I4 16V MPFI SOHC,Polished Metal,5-Speed Automatic,Gray,B21983,FWD,2HGFB2F84CH530986,4,"105""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=87636593&listingRecNum=318&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D3,,,
322,2012,2012 Honda Civic EX-L,4-Wheel Disc Brakes,A/C,ABS,Adjustable Steering Wheel,Aluminum Wheels,AM/FM Stereo,Automatic Headlights,Auxiliary Audio Input,Bluetooth Connection,Brake Assist,Bucket Seats,CD Player,Child Safety Locks,Driver Vanity Mirror,Emergency Trunk Release,Floor Mats,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,ABS and Driveline Traction Control,Anti-theft alarm system,Audio controls on steering wheel,Audio system memory card slot,Audio system security,Bluetooth HandsFreeLink wireless phone connectivity,Braking Assist,Bucket front seats,Cargo area light,Clock: In-dash,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Daytime running lights,Digital Audio Input,Driver and passenger heated-cushion,driver heated-seatback,Dual vanity mirrors,Dusk sensing headlights,Express open/close glass sunroof,External temperature display,Fold forward seatback rear seats,Four-wheel Independent Suspension,Front reading lights,Front Ventilated disc brakes,Fuel Capacity: 13.2,Fuel Consumption: City: 28,Fuel Consumption: Highway: 39,Fuel Type: Regular unleaded,Headlights off auto delay,Heated driver mirror,Heated passenger mirror,In-Dash single CD player,Independent front suspension classification,Independent rear suspens,Instrumentation: Low fuel level,Interior air filtration,Leather seat upholstery,Leather/metal-look steering wheel trim,Machined aluminum rims,Manual front air conditioning,Manufacturer's 0-60mph acceleration time (seconds): 8.8,Max cargo capacity: 12,Mechanical remote trunk release,Metal-look shift knob trim,MP3 player,Passenger Airbag,Power remote driver mirror adjustment,Power remote passenger mirror adjustment,Power windows,Privacy glass: Light,Radio Data System,Rear bench,Rear seats center armrest,Rear Stabilizer Bar: Regular,Regular front stabilizer bar,Remote power door locks,Side airbag,Speed Sensitive Audio Volume Control,Speed-proportional electric power steering,Stability control,Strut front suspension,Suspension class: Regular,Tachometer,Tilt and telescopic steering wheel,"Seller's Notes: ***Pearson Honda is the largest Honda dealership in Virginia! Winner of the president's award seven times and a brand new state of the art facility, we are central Virginia's #1 in volume new and certified pre-owned dealer. A one stop service shop with some of the best certified techs servicing most makes & models. Open Saturdays. Contact our Internet sales team or come visit us today!",,,http://www.cstatic-images.com/phototab/DMI/8851/10642A.jpg,http://www.cstatic-images.com/phototab/DMI/8851/10642A.02.jpg,"$20,995 ","2,817",Gasoline,Sedan,1.8L I4 16V MPFI SOHC,Gray,5-Speed Automatic,,10642A,FWD,19XFB2F98CE017906,4,"105""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=81099545&listingRecNum=319&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D3,,,
323,2011,2011 Honda Civic,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,Anti-theft alarm system,Audio controls on steering wheel,Audio system memory card slot,Audio system security,Bucket front seats,Cargo area light,Clock: In-radio display,Cloth seat upholstery,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Daytime running lights,Digital Audio Input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continental Auto Group,4800-5115 Old Seward Hwy Anchorage AK 99503 (Map),http://www.cstatic-images.com/phototab/DMI/26904/U24888-1.jpg,http://www.cstatic-images.com/phototab/DMI/26904/U24888-1.02.jpg,"$20,995 ","3,753",Gasoline,Sedan,1.8L I4 16V MPFI SOHC,,5-Speed Automatic,,U24888-1,FWD,2HGFA1F85BH534704,4,"106""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=75904116&listingRecNum=320&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D3,,,
324,2012,2012 Honda Civic EX,1.8l SOHC MPFI 16-Valve I-Vtec I4 Engine,2-Tier Instrument Panel W/Blue Backlit Gauges -Inc: Tachometer,28/39,4-Wheel Anti-Lock Braking System (Abs) W/Electronic Brake Distribution (Ebd),60/40 Fold Down Rear Seatback -Inc: Adjustable Head Restraints,Advanced Compatibility Engineering (Ace) Body Structure,Air Conditioning W/Air Filtration System,Aluminum-Alloy Engine Block,Body-Colored Door Handles,Body-Colored Pwr Mirrors,Brake Assist,Center Console W/Armrest,Child-Proof Rear Door Locks,City 28/Hwy 39 (1.8l,Coin Tray,Drive-By-Wire Throttle,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,ABS and Driveline Traction Control,Anti-theft alarm system,Audio controls on steering wheel,Audio system memory card slot,Audio system security,Bluetooth HandsFreeLink wireless phone connectivity,Braking Assist,Bucket front seats,Cargo area light,Clock: In-dash,Cloth seat upholstery,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Daytime running lights,Digital Audio Input,Dual vanity mirrors,Express open/close glass sunroof,External temperature display,Fold forward seatback rear seats,Four-wheel Independent Suspension,Front and rear suspension stabilizer bars,Front reading lights,Front Ventilated disc brakes,Fuel Capacity: 13.2,Fuel Consumption: City: 28,Fuel Consumption: Highway: 39,Fuel Type: Regular unleaded,Headlights off auto delay,In-Dash single CD player,Independent front suspension classification,Independent rear suspension,Instrumentation: Low fuel level,Interior air filtration,Manual front air conditioning,Manufacturer's 0-60mph acceleration time (seconds): 8.8,Max cargo capacity: 12,Mechanical remote trunk release,Metal-look shift knob trim,MP3 player,Multi-link rear suspension,Passenger Airbag,Plastic/vinyl steering wheel trim,Power remote driver mirror adjustment,Power remote passenger mirror adjustment,Power windows,Privacy glass: Light,Radio Data System,Rear bench,Rear seats center armrest,Rear Stabilizer Bar: Regular,Regular front stabilizer bar,Remote power door locks,Side airbag,Silver aluminum rims,Spare T,Speed Sensitive Audio Volume Control,Speed-proportional electric power steering,Stability control,Steel spare wheel rim,Strut front suspension,Suspension class: Regular,Tachometer,Tilt and telescopic steering wheel,Tire Pressure Monitoring System,Seller's Notes: For more information or to schedule a test drive Call Toll Free Today!,,,http://www.cstatic-images.com/phototab/DMI/27095/H37809A.jpg,http://www.cstatic-images.com/phototab/DMI/27095/H37809A.02.jpg,"$20,995 ","5,480",Gasoline,Sedan,1.8L I4 16V MPFI SOHC,Polished Metal Metal...,5-Speed Automatic,Gray,H37809A,FWD,19XFB2F83CE020817,4,"105""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=86530038&listingRecNum=321&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D3,,,
325,2011,2011 Honda Civic EX,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,Anti-theft alarm system,Audio controls on steering wheel,Audio system memory card slot,Audio system security,Bucket front seats,Cargo area light,Clock: In-radio display,Cloth seat upholstery,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Daytime running lights,Digital Audio Input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,995 ","14,152",Gasoline,Coupe,1.8L I4 16V MPFI SOHC,White,5-Speed Automatic,,PF1548,FWD,2HGFG1B86BH518449,2,"104""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=87816655&listingRecNum=332&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D3,,,
326,2012,2012 Honda Civic LX,12 Volt Accessory Plug,Adjustable Head Rests,Air Conditioning,AM/FM Stereo & CD Player,Anti-Lock Braking System (Abs),Auto Express Down Window,Auxiliary Audio Input,Beverage Holder (S),Carpeting,Center Arm Rest,Clock,Cloth Upholstery,Console,Courtesy Lights,Day/Night Lever,Door Pocket(S),1st and 2nd row curtain head airbags,4-wheel ABS Brakes,769,ABS and Driveline Traction Control,AM/FM stereo,Anti-theft alarm system,Audio controls on steering wheel,Audio system memory card slot,Audio system security,Braking Assist,Bucket front seats,Cargo area light,Center Console: Full with covered storage,Clock: In-dash,Cloth seat upholstery,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Curb weight: 2,Daytime running lights,Digital Audio Input,Dual vanity mirrors,Fold forward seatback rear seats,Four-wheel Independent Suspension,Front and rear suspension stabilizer bars,Front reading lights,Front Ventilated disc brakes,Fuel Capacity: 13.2,Fuel Consumption: City: 28,Fuel Consumption: Highway: 39,Fuel Type: Regular unleaded,Grille with chrome bar,Headlights off auto delay,In-Dash single CD player,Independent front suspension classification,Independent rear suspension,Instrumentation: Low fuel level,Interior air filtration,Intermittent front wipers,Manual front air conditioning,Manufacturer's 0-60mph acceleration time (seconds): 8.7,Max cargo capacity: 12,Mechanical remote trunk release,Metal-look shift knob trim,MP3 player,Multi-link rear suspension,Overall Length: 177.3,Overall Width,Passenger Airbag,Plastic/vinyl steering wheel trim,Power remote driver mirror adjustment,Power remote passenger mirror adjustment,Power windows,Privacy glass: Light,Radio Data System,Rear bench,Rear Stabilizer Bar: Regular,Regular front stabilizer bar,Remote power door locks,Side airbag,Spare Tire Mount Location: Inside under cargo,Speed Sensitive Audio Volume Control,Speed-proportional electric power steering,Stability control,Steel spare wheel rim,Strut front suspension,Suspension class: Regular,"Seller's Notes: Incredibly low miles! Factory warranty included. Less $ for gas means more $ for more important things in life! Feeling safe and secure is important for you and your family. Be an informed buyer when making this purchase, it includes a CarFax Title History report. We have a huge selection of used cars, trucks, and SUV's. We are proud to serve Asheville, Hendersonville, Black Mountain, Canton, Brevard, Greenville SC, and Spartanburg SC. Visit us on Autotrader, google, and Facebook. CALL JOHNNY PEREZ for MORE DETAILS 888-290-5996 . EXT. 150",,,http://www.cstatic-images.com/phototab/DMI/83833/P1215.jpg,http://www.cstatic-images.com/phototab/DMI/83833/P1215.02.jpg,"$20,995 ","6,361",Gasoline,Sedan,1.8L I4 16V MPFI SOHC,Taffeta White,5-Speed Automatic,Beige,P1215,FWD,2HGFB2F54CH305831,4,"105""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=85655554&listingRecNum=322&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D3,,,
327,2011,2011 Honda Civic EX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,995 ","17,695",,,1.8L,Polished Metal Metal...,5-Speed Auto,Gray,23043A,,2HGFG1B89BH519398,2,,http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=87772024&listingRecNum=337&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D3,,,
328,2012,2012 Honda Civic EX-L,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,ABS and Driveline Traction Control,Anti-theft alarm system,Audio controls on steering wheel,Audio system memory card slot,Audio system security,Bluetooth HandsFreeLink wireless phone connectivity,Braking Assist,Bucket front seats,Cargo area light,Clock: In-dash,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,995 ","13,519",Gasoline,Sedan,1.8L I4 16V MPFI SOHC,Urban Titanium Metal...,5-Speed Automatic,Gray,GP7454,FWD,19XFB2F91CE300650,4,"105""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=87574414&listingRecNum=331&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D3,,,
